sanskrit,english,q_en_1,q_en_2,q_en_3,q_en_4,a_en_1,a_en_2,a_en_3,a_en_4,q_hi_1,q_hi_2,q_hi_3,q_hi_4,a_hi_1,a_hi_2,a_hi_3,a_hi_4,q_sa_1,q_sa_2,q_sa_3,q_sa_4,a_sa_1,a_sa_2,a_sa_3,a_sa_4,tags
हिताहितं सुखं दुःखमायुस्तस्य हिताहितम्‌ । मानं च तच्च यत्रोक्तमायुर्वेदः स उच्यते ।।४९।।,"Ayurveda is that which deals with good, bad, happy and unhappy life, its promoters and non-promoters, measure and nature). [41]",What aspects of human experience are encompassed by Ayurveda?,Who are considered the promoters and non-promoters within the scope of Ayurveda?,"In Ayurvedic practice, what is meant by “measure”?",How does Ayurveda relate to nature?,"Ayurveda addresses both positive and negative aspects of life, including happiness and sorrow.","Promoters are those who support health and well‑being, while non‑promoters are factors or individuals that hinder it.","“Measure” refers to the appropriate balance, dosage, and timing needed to maintain health.",Ayurveda aligns health practices with the natural laws and elements governing the body and environment.,आयुर्वेद किन‑किन पहलुओं को सम्मिलित करता है?,आयुर्वेद में “प्रोमोटर” और “नॉन‑प्रोमोटर” किन्हें कहा जाता है?,आयुर्वेद में “माप” शब्द का क्या अर्थ है?,आयुर्वेद प्राकृतिक नियमों से कैसे जुड़ा है?,"आयुर्वेद सुख‑दुःख, लाभ‑हानि आदि सभी जीवन के सकारात्मक और नकारात्मक पक्षों को देखता है।","प्रोमोटर वे हैं जो स्वास्थ्य को बढ़ाते हैं, जबकि नॉन‑प्रोमोटर वे हैं जो रोग या असंतुलन लाते हैं।","माप का तात्पर्य उचित मात्रा, संतुलन और समय निर्धारण से है जो स्वास्थ्य को स्थिर रखता है।",आयुर्वेद प्रकृति के नियमों और तत्वों के साथ सामंजस्य स्थापित कर उपचार और जीवन शैली निर्धारित करता है।,आयुर्वेदः किम्‑किं जीवनस्य पक्षान् व्याप्नोति?,आयुर्वेदे हितकारिणः अपि च अहितकारिणः के मान्यन्ते?,आयुर्वेदे “माप” इत्यत्र किमर्थम् प्रयुज्यते?,आयुर्वेदः प्रकृतेः नियमभ्यः कथेति सम्बद्धः?,"आयुर्वेदः सुखं दुःखं च, हितं अधि‑हितं च सर्वे पक्षान् विवेच्छति।","हितकारिणः तु स्वास्थ्यं वर्धयन्ति, अहितकारिणः रोगं उत्पद्यन्ति इति स्मर्यते।","मापः इति यथोचितं मात्राव्यवस्थापनं, संतुलनं, कालसमीकरणं च सूचितम् अस्ति।","आयुर्वेदः प्रकृतेः तत्त्वानां सिद्धेः अनुसरति, स्वास्थ्यम् आदाय प्रकृतिं साक्षीभवति।",
"शरीरेन्द्रियसत्त्वात्मसंयोगो धारि जीवितम् |
नित्यगश्चानुबन्धश्च पर्यायैरायुरुच्यते ||४२||","‘Ayus' means the conjunction of body, sense organs, mind and self and is known by the synonyms dhari, jivita, nityaga and anubandha. [42]",What constitutes the concept of Ayus?,Which terms are used as synonyms for Ayus?,How does the term nityaga describe an aspect of Ayus?,"What does the combination of body, senses, mind, and self represent in the context of vitality?","Ayus is defined as the conjunction of the body, sense organs, mind, and self.","The synonyms for Ayus are dhari, jivita, nityaga, and anubandha.",The word nityaga highlights the perpetual or continuous nature of Ayus.,It signifies the total life‑force or vitality known as Ayus.,आयु को क्या-क्या तत्व मिलाकर माना जाता है?,आयु के कौन‑से पर्यायवाची शब्द हैं?,नित्यग शब्द आयु के किस गुण को दर्शाता है?,"शरीर, इन्द्रियों, मन और आत्मा के मिलन को क्या कहा जाता है?","शरीर, इन्द्रियों, मन और आत्मा के संयोजन से आयु को माना जाता है।","धारी, जीवित, नित्यग और अनुबन्ध आयु के पर्यायवाची शब्द हैं।",नित्यग आयु की निरन्तरता या स्थायी प्रकृति को दर्शाता है।,इसे आयु या जीवन शक्ति कहा जाता है।,आयुषस्य परिकल्पनायां कः कः घटकः संगच्छति?,आयुषस्य पर्यायाः कः कः?,नित्यग इति शब्देण आयुष्याः कः गुणः सूच्यते?,शरीरस्य इन्द्रियाणां चात्मनः च संयोजनं किम् इति नामभिः अभिधीयते?,शरीरेन्द्रियसत्त्वात्मसंयोगः आयुषस्य मुख्य घटकाः।,"धारी, जीवित, नित्यग, अनुबन्ध इति चतस्रः शब्दाः आयुषस्य पर्यायाः।","नित्यग इति आयुष्याः अनन्तता, सततता इति अर्थं दर्शयति।","तत् आयुष्, जीवितस्य मुख्यं रूपम् इति अभिधीयते।",
तस्यायुषः पुण्यतमो वेदो वेदविदां मतः । वक्ष्यते यन्मनुष्याणां लोकयोरुभयोर्हितम्‌ ।। ४३।।,The scholars of Vedas regard the Veda of that Ayus as the most virtuous one which is said as good for both the worlds for the human beings. [43],Which Veda do Vedic scholars consider the most virtuous?,What benefit does the Veda of Ayus provide to humanity?,Who holds the view that the Veda of Ayus is the most virtuous?,For which beings is the Veda of Ayus described as good?,They consider the Veda of Ayus to be the most virtuous.,It is said to be beneficial for both worlds for human beings.,The scholars who study the Vedas hold that view.,It is described as good for human beings across both worlds.,कौन सा वेद वैदिक विद्वानों द्वारा सबसे पुण्य माना जाता है?,आयुश वेद मानव जाति के लिए किस प्रकार का लाभ प्रदान करता है?,किस समूह ने आयुश वेद को सबसे पुण्य कहा है?,आयुश वेद किसके लिए कहा गया है कि यह अच्छा है?,वह आयुश का वेद सबसे पुण्य माना जाता है।,यह दोनों लोकों में मानवों के लिये लाभदायक बताया गया है।,वेदों के विद्वानों ने इसे सबसे पुण्य कहा है।,"यह मानव जीवों के लिये, दोनों लोकों में, अच्छा बताया गया है।",कस्य वेदः वैदिकविदुषः अधिकं पुण्यं मन्यते?,आयुशवेदः मनुष्याणां किमर्थं लाभदायकः?,कः आयुशवेदस्य पुण्यत्वस्य अभिप्रायं धृते?,आयुशवेदः कस्य हिताय उच्यते?,आयुशस्य वेदः अधिकं पुण्यं मन्यते।,एषः द्वयोः लोकयोः मनुष्याणां हिताय कथ्यते।,वेदविदाः एतस्य पुण्यत्वस्य अभिप्रायं धृते।,एतः मनुष्याणां द्वयोः लोकयोः हिताय उच्यते।,
"सर्वदा [१२] सर्वभावानां सामान्यं वृद्धिकारणम् |
ह्रासहेतुर्विशेषश्च, प्रवृत्तिरुभयस्य तु ||४४||",Similarity of all substances is always the cause of increase and dissimilarity the cause of decrease. Both effect by their application. [44],Why does combining similar substances tend to lead to an increase in quantity or quality?,How does the presence of dissimilar substances affect a system's magnitude?,What is the role of similarity in the process of growth according to natural principles?,In what way can both similarity and dissimilarity produce effects when applied?,Because similarity among substances acts as the universal cause that brings about increase.,Dissimilarity serves as the universal cause that brings about decrease.,Similarity functions as the always‑present cause that promotes growth.,Both similarity and dissimilarity can produce their respective effects when they are applied to a situation.,क्यों समान पदार्थों को मिलाने से मात्रा या गुण में वृद्धि होती है?,असमान पदार्थों की उपस्थिति प्रणाली के आकार को कैसे प्रभावित करती है?,वृद्धि की प्रक्रिया में समानता की क्या भूमिका है?,समानता और असमानता दोनों लागू होने पर किस प्रकार प्रभाव उत्पन्न करती हैं?,क्योंकि समान पदार्थों का मिलन हमेशा वृद्धि का कारण बनता है।,असमान पदार्थों की उपस्थिति हमेशा ह्रास का कारण बनती है।,समानता वृद्धि के सार्वभौमिक कारण के रूप में कार्य करती है।,समानता तथा असमानता दोनों ही लागू होने पर अपने‑अपने प्रभाव उत्पन्न करती हैं।,समानपदार्थानां संयोजनेन कस्य कारणेन वृद्धिः भवति?,असमानपदार्थानां उपस्थितेः परिणामः कः?,वृद्धेः प्रक्रियायां समानताया मुख्यं कार्यं किम्?,समानता च असमानता च प्रयोगेण कस्मिन् प्रकारेण प्रभावे उत्पद्यन्ते?,कारणम् समानता सर्वदा वृद्धिं जनयति।,कारणम् असमानता सर्वदा ह्रासं जनयति।,समानता सदा वृद्धेः मुख्यकारणम् अस्ति।,समानताया असमानताया च प्रयोगेण तौ द्वौ प्रभावौ जातौ।,
सामान्यमेकत्वकरं विशेषस्तु पृथक्त्वकृत्‌ । तुल्यार्थता हि सामान्यं विशेषस्तु विपर्ययः ।।४५।।,"Similarity brings unity while dissimilarity causes diversity. Again, similarity proposes similar purpose (or action) while dissimilarity has opposite one. [45]",How does similarity influence the formation of unity?,What is the result of dissimilarity within a collection of elements?,In what way does similarity affect the purpose of actions taken together?,What opposite effect does dissimilarity have on the purpose of actions?,Similarity brings about unity among the elements.,Dissimilarity leads to diversity among the elements.,Similarity directs actions toward a common purpose.,Dissimilarity causes actions to pursue opposite purposes.,समानता एकता के निर्माण को कैसे प्रभावित करती है?,वस्तुओं के समूह में असमानता का परिणाम क्या होता है?,समानता एक साथ किए गए कार्यों के उद्देश्य को कैसे निर्धारित करती है?,असमानता कार्यों के उद्देश्य पर कौन-सा विपरीत प्रभाव डालती है?,समानता वस्तुओं को एकजुट करके एकता उत्पन्न करती है।,असमानता वस्तुओं के बीच विविधता उत्पन्न करती है।,समानता कार्यों को एक समान उद्देश्य की ओर ले जाती है।,असमानता कार्यों को विपरीत उद्देश्यों की ओर धकेलती है।,समरूपता एकत्वस्य निर्माणं कथं प्रक्रमति?,विविधता कारणं भिन्नत्वस्य परिणामः कः?,समरूपता कर्मणां उद्देश्यम् कस्मात् प्रकारेण नियोजयति?,भिन्नत्वं कर्मणां उद्देश्यम् कस्य प्रतिकूलं प्रभावं दर्शयति?,समरूपता वस्तूनाम् एकत्वं सृष्ट्वा एकतां वहति।,भिन्नत्वं वस्तूनां मध्ये विविधतां जनयति।,समरूपता कर्माणि समानस्य उद्देशस्य प्रती दिशति।,भिन्नत्वं कर्माणि परस्परविरोधी उद्देशस्य दिशाम् आवहति।,
"सत्त्वमात्मा शरीरं च त्रयमेतत्त्रिदण्डवत् |
लोकस्तिष्ठति संयोगात्तत्र सर्वं प्रतिष्ठितम् ||४६||
स पुमांश्चेतनं तच्च तच्चाधिकरणं स्मृतम् |
वेदस्यास्य, तदर्थं हि वेदोऽयं सम्प्रकाशितः ||४७||","Mind, self and body-these three make a SUpod on which the livng word stands. That (living body) is Purusa (person), sentient and location of this Veda (Ayurveda). For him alone, this Veda is brought to light. [46-47]",What three elements together form a support similar to a tripod for the living principle?,Which being is identified as the living embodiment that houses the knowledge of Ayurveda?,For whose benefit is the knowledge of Ayurveda specifically illuminated?,"How are the mind, self, and body metaphorically described in relation to the living principle?","The mind, the self, and the body together form the three‑legged support for the living principle.","The living embodiment is the person (purusha), who is sentient and the seat of Ayurveda.",Ayurveda is illuminated specifically for that individual person.,"They are likened to a tripod, each forming one leg that upholds the living principle.",कौन‑से तीन तत्व मिलकर जीवित सिद्धान्त के लिए त्रिपदी जैसा आधार बनाते हैं?,कौन-सा जीवित अस्तित्व आयुर्वेद का स्थान माना गया है?,आयुर्वेद किसके लिए विशेष रूप से प्रकाशित किया गया है?,"मन, आत्मा और शरीर को जीवित सिद्धान्त के संदर्भ में कैसे वर्णित किया गया है?","मन, आत्मा और शरीर मिलकर त्रिपदी जैसा आधार बनाते हैं, जो जीवित सिद्धान्त को धारण करता है।","वह जीवित अस्तित्व मनुष्य (पुरुष) है, जो आयुर्वेद का स्थान माना गया है।",आयुर्वेद विशेष रूप से उस व्यक्ति के लिये प्रकाशित किया गया है।,"मन, आत्मा और शरीर को त्रिदण्ड के समान वर्णित किया गया है, जिससे जीवित सिद्धान्त का समर्थन होता है।",किम् त्रयम् एकत्र सुभजं त्रिदण्डवत् जीवितशब्दस्य आधारं भवति?,कोऽस्ति सः जीवितः व्यक्तिः यः आयुर्वेदस्य स्थानम् इति अभिप्रेतम्?,आयुर्वेदः किनः कृते प्रकाश्यते?,मनः आत्मा च शरीरं कस्य प्रकारेण त्रिदण्डसम इव निरूप्यते?,मनः आत्मा च शरीरं मिलित्वा त्रिदण्डवत् जीवितशब्दस्य आधारं निर्माति।,सः जीवितः पुरुषः आयुर्वेदस्य स्थानम् इति अभिप्रेतः।,आयुर्वेदः अस्मिन पुरुषेणैव प्रकाश्यते।,"मनः आत्मा च शरीरं त्रिदण्डसम इव वर्ण्यन्ते, यतः जीवितशब्दस्य समर्थनम् अस्ति।",
"खादीन्यात्मा मनः कालो दिशश्च द्रव्यसङ्ग्रहः |
सेन्द्रियं चेतनं द्रव्यं, निरिन्द्रियमचेतनम् ||४८||

","In short, akasa etc. (Akasa, vayu, tejas, ap and prthivi), self, mind, time and space are dravyas (substances). Dravya having sense organ is sentient while that without it is insentient. [48]","Which elements are identified as dravyas alongside the self, mind, time, and space?",What characteristic makes a dravya sentient according to this classification?,Is space considered a substance (dravya) in this list?,How are dravyas without sense organs described?,"Akasha, Vayu, Tejas, Ap, and Prithvi are listed together with the self, mind, time, and space as dravyas.",A dravya is sentient when it possesses sense organs (se ndriyam) and is conscious (chetanam).,"Yes, space is included as one of the dravyas.",Dravyas lacking sense organs are described as insentient and unconscious.,"कौन‑कौन से तत्व आत्मा, मन, काल और स्थान के साथ पदार्थ (द्रव्य) के रूप में गिने जाते हैं?",इस वर्गीकरण में द्रव्य को संवेदनशील (सेन्द्रिय) बनाने वाला गुण क्या है?,क्या स्थान को इस सूची में द्रव्य माना गया है?,बिना इन्द्रियों वाले द्रव्य को कैसे वर्णित किया गया है?,"आकाश, वायु, तेजस्, आप और पृथ्वी को आत्मा, मन, काल और स्थान के साथ द्रव्य माना गया है।","जब द्रव्य में इन्द्रियों का अस्तित्व और चेतना हो, तो वह संवेदनशील माना जाता है।","हाँ, स्थान को इस वर्गीकरण में द्रव्य के रूप में शामिल किया गया है।",इन्द्रियों के अभाव वाले द्रव्य को असंवेदनशील और अचेतन कहा गया है।,"आत्मा, मन, कालः च स्थानं च के अतिरिक्त किम्‑किम् पदार्थाः इति निर्दिष्टाः?",कस्य कारणेन कश्चन पदार्थः संवेदनशीलः इति ग्रहीतम्?,अयं वर्गीकरणे स्थानं पदार्थम् इति कथम् अभिधीयते?,इन्द्रियरहितानां पदार्थानां गुणः कः वर्णितः?,"आकाश, वायु, तेजस्, आप्, पृथिवी इत्यादीन् आत्मा, मनः, कालः, स्थानं च सहितम् द्रव्येषु गणितम्।","स्मः इन्द्रियाणि सन्ति चेतनत्वं च चेतनम्, तत्रैव पदार्थः संवेदनशीलः इति अभिधीयते।",एतस्य सूचीमध्ये स्थानम् अपि द्रव्यरूपेण उल्लेखितम् अस्ति।,"इन्द्रियरहितानां द्रव्यं अचेतनम्, असंवेदनशीलम् इति वर्णितम्।",
"सार्था गुर्वादयो बुद्धिः प्रयत्नान्ताः परादयः |
गुणाः प्रोक्ताः प्रयत्नादि कर्म चेष्टितमुच्यते ||४९||","Sense objects (sabda, sparsa, rupa, rasa, gandha), properties begining with guru, knowlege, qulaities ending with prayatna and begining with para are called gunas. The movement iniated by effort is called karma (action). [49]","Which sense objects are classified as sabda, sparsa, rupa, rasa, and gandha?","What term is used for qualities that begin with ""para"" and end with ""prayatna""?","How are properties that start with ""guru"" categorized?",What is the name given to the movement that originates from effort?,"They correspond to sound, touch, form, taste, and smell respectively.",Such qualities are called gunas.,They are also included among the gunas.,"It is called karma, meaning action.","ध्वनि, स्पर्श, रूप, रस और गंध को किस समूह में वर्गीकृत किया जाता है?","वह गुण जो “परा” से शुरू होते हैं और “प्रयत्न” पर समाप्त होते हैं, उन्हें क्या कहा जाता है?",“गुरु” से शुरू होने वाली विशेषताओं को किस रूप में समझा जाता है?,प्रयास द्वारा उत्पन्न गति को क्या नाम दिया गया है?,"इन्हें इन्द्रियों के वस्तु‑वस्तु अर्थात् शब्द, स्पर्श, रूप, रस, गंध कहा जाता है।",इन्हें गुण कहा जाता है।,इन्हें भी गुणों के अंतर्गत रखा जाता है।,"इसे कर्म कहा जाता है, अर्थात् क्रिया।","शब्दः, स्पर्शः, रूपः, रसः, गन्धः इत्येतेषां वस्तूनां वर्गः कः?",परा इत्यादिना प्रारभ्य प्रयत्नं इत्यन्ते समाप्तेभ्यः गुणः कथम् अभिधीयते?,गुरु इत्यादिना आरभ्यन्ति विशेषाणि किम्?,प्रयत्नादिनिर्मितः चलनः कः इति अभिध्यायते?,एतेषां वर्गः इन्द्रियवस्तूनाम् वर्गः अस्ति।,"एतेषां गुणः ""गुणाः"" इति कथ्यन्ते।",एतेषां विशेषाणां वर्गः अपि गुणाः इति अभिधीयते।,"तस्य नामा कर्म इति, यः क्रिया इति अभिव्यक्तिः।",
समवायोऽपृथग्भावो भूम्यादीनां गुणैर्मतः । स नित्यो यत्र हि द्रव्यं न तत्रानियतो गुणः ।।५०।।,Samavaya (inherence) is the inseparableness of prthivi etc. (dravya) with their gunas (properties). This is eternal because no dravya (substance) is devoid of property. [50],What does the inseparableness of a substance and its properties mean?,Why is this inseparableness considered eternal?,"To which kinds of things, such as earth, does this principle apply?",How does the fact that every substance possesses a property support the idea of inseparableness?,It means that a substance and its inherent qualities cannot be separated from each other.,"It is eternal because no substance exists without at least one property, making the bond permanent.","The principle applies to all material entities, for example earth and similar substances.","Since each substance always has a property, the connection between them is never broken.",एक पदार्थ और उसके गुणों की अविभाज्यता का क्या अर्थ है?,यह अविभाज्यता क्यों अनंत मानी जाती है?,भू­मि आदि जैसी वस्तुओं पर यह सिद्धांत कैसे लागू होता है?,प्रत्येक पदार्थ में गुण का होना अविभाज्यता के विचार को कैसे समर्थन देता है?,इसका अर्थ है कि पदार्थ और उसके अंतर्निहित गुण कभी अलग नहीं हो सकते।,"यह अनंत है क्योंकि कोई भी पदार्थ बिना गुण के नहीं रहता, इसलिए उनका संबंध स्थायी रहता है।","यह सिद्धांत सभी भौतिक वस्तुओं पर लागू होता है, जैसे पृथ्वी तथा समान पदार्थ।","चूंकि प्रत्येक पदार्थ में हमेशा कुछ न कुछ गुण रहता है, इसलिए वह गुण उसके साथ अनिवार्य रूप से जुड़ा रहता है।",समवायस्य अर्थः कः?,समवायः कस्मात् कारणेन शाश्वतः इति मान्यते?,पृथिव्यादीनां कस्य प्रकारस्य वस्तूनां इयं सिद्धान्तः लागू भवति?,सर्वेभ्यः पदार्थेभ्यः गुणः सन्ति इति तथ्यं समवायस्य सिद्धान्तं कथं सुदृढं करोति?,अर्थात् पदार्थस्य तस्य च गुणस्य अविभाज्यसम्बन्धः अस्ति।,"कारणम् एतद् यत् कस्यापि पदार्थे न किञ्चित् गुणं न भविष्यति, अतः सम्बन्धः अनन्तः भवति।","एष सिद्धान्तः सर्वेभ्यः भौतिकवस्तुभ्यः, यथा पृथिवी इत्यादीनाम्, लागू भवति।","यदि प्रत्येकस्य पदार्थस्य किञ्चित् न किञ्चित् गुणः स्याद्, तर्हि तस्य सम्बन्धः न कदापि विच्छेदितुं शक्यते।",
यत्रा्चिताः कर्मगुणाः कारणं समवायि यत्‌ । तद्द्रव्यं समवायी तु निश्चेष्टः कारणं गुणः ।।५९।।,"Dravya (substance including drugs) is that where actions and properties are located and which is the material cause (of its effect). Guna (property) is related with inherence (to dravya), is devoid of action and is (asamavayi--non-inherent) cause (of its effect). [51]","What is defined as the material cause of its effect, where actions and properties reside?",How is a property (Guna) described in relation to a substance (Dravya)?,Which entity includes drugs and serves as the locus of both actions and properties?,What role does a property (Guna) play concerning its effect in this framework?,"Dravya (substance, including drugs) is that where actions and properties are located and which is the material cause of its effect.","Guna is a property that inheres in Dravya, is devoid of action, and functions as a non‑inherent cause of its effect.","Dravya, which encompasses drugs, is the entity where both actions and properties are situated.","Guna acts as a non‑inherent cause of the effect, being without action yet inhering in Dravya.",कौन‑सा पदार्थ वह है जिसमें क्रिया और गुण स्थित होते हैं और जो अपने प्रभाव का कारण बनता है?,गुण को पदार्थ के संबंध में कैसे वर्णित किया गया है?,द्रव्य में कौन‑से तत्व शामिल होते हैं?,प्रभाव के कारण के रूप में गुण की क्या विशेषता है?,"द्रव्य वह पदार्थ है जिसमें क्रिया और गुण स्थित होते हैं और जो अपने प्रभाव का कारण बनता है, जिसमें औषधियाँ भी सम्मिलित हैं।","गुण वह विशेषता है जो द्रव्य में अंतर्निहित है, क्रिया से रहित है और प्रभाव का असमवायी कारण है।",द्रव्य में औषधियों सहित सभी पदार्थ सम्मिलित होते हैं।,"गुण प्रभाव का असमवायी कारण है, अर्थात वह बिना क्रिया के कारण बनता है, परन्तु द्रव्य में अंतर्निहित रहता है।",किम् अस्ति पदार्थः यत्र क्रियाः गुणाः च स्थिताः सन्ति तथा प्रभावस्य कारणम्?,गुणः द्रव्यस्य संबंधे कथम् अभिहितः?,द्रव्ये कः समाविष्टः?,प्रभावस्य कारणे रूपेण गुणस्य विशेषता का?,"द्रव्यं इदं वस्तु, औषधिसहितम्, यत्र क्रियाः गुणाः च सन्ति तथा कारणम् भवति।","गुणः द्रव्ये अन्तःस्थः, क्रियारहितः, प्रभावस्य असमवायिक कारणम् इति अभिहितः।",द्रव्ये औषधिं सहितान्ये सर्वे पदार्थाः अन्तर्भवन्ति।,"गुणः प्रभावस्य असमवायिक कारणम्, अर्थात् सः क्रियारहितः परन्तु द्रव्ये अन्तःस्थः।",
संयोगे च विभागे च कारणं द्रव्यमाश्रितम्‌ । कर्तव्यस्य क्रिया कर्म कर्म नान्यदपेक्षते ।।५२।।,"The causative factor in conjunction and disjunction, located in dravya and performance of that to be done is karma (action). Karma does not require another factor. [52] |",What is identified as the causative factor in both conjunction and disjunction?,Where is this causative factor said to be located?,Does karma require any other factor to operate?,How does the performance of the intended action relate to the causative factor?,Karma (action) is identified as the causative factor.,"It is located in dravya, the material substance.","No, karma does not require any other factor.",The performance of the intended action itself serves as the causative factor.,संगम और विच्छेद दोनों में कारण के रूप में क्या माना जाता है?,वह कारण किस तत्व में स्थित है?,क्या कर्म को किसी अन्य कारण की आवश्यकता होती है?,करने योग्य कार्य की अभिप्राय से कारण कैसे जुड़ा है?,कर्म (क्रिया) को कारण माना जाता है।,वह कारण पदार्थ (द्रव्य) में स्थित है।,"नहीं, कर्म को अतिरिक्त किसी कारण की आवश्यकता नहीं होती।",करने योग्य कार्य की क्रिया ही कारण के रूप में कार्य करती है।,संयोगे च विभागे च कारणम्‌ किम्?,कस्य स्थितौ कारणम्‌ अस्ति?,कर्मणः किम्‌ अन्यः कारणम्‌ आवश्यकी?,कर्तव्यस्य क्रियायाः कारणस्य सम्बन्धः कः?,कारणम्‌ कर्म (क्रिया) इति।,कारणम्‌ द्रव्ये स्थितम्‌।,"न, कर्मणः अन्यस्य कारणस्य आवश्यता नास्ति।",कर्तव्यस्य क्रिया एव कारणम्‌ भवति।,
इत्युक्तं कारणं कार्य धातुसाम्यमिहोच्यते । धातुसाम्यक्रिया चोक्ता तन्त्रस्यास्य प्रयोजनम्‌ ||५३||,"Thus described the cause. Now the effect, dhatusamya, is discussed here because the object of this compendium is achievement of dhatusamya (equilibrium of SUtaining and nourishing factors. [53]","What does the term ""dhatusamya"" refer to in this context?",What is identified as the primary objective of the discussed compilation?,Which two types of factors are balanced to achieve dhatusamya?,How is the relationship between cause and effect presented regarding dhatusamya?,Dhatusamya denotes the equilibrium of sustaining and nourishing factors.,The main aim of the compilation is the attainment of dhatusamya.,The balance involves sustaining factors and nourishing factors.,"The cause is first described, followed by the effect, which is the establishment of dhatusamya.","इस संदर्भ में ""धातुसाम्य"" शब्द का क्या अर्थ है?",इस संकलन का मुख्य लक्ष्य क्या बताया गया है?,धातुसाम्य प्राप्त करने के लिए किन दो प्रकार के कारकों का संतुलन आवश्यक है?,धातुसाम्य के संबंध में कारण और प्रभाव को कैसे प्रस्तुत किया गया है?,धातुसाम्य का अर्थ है पोषण और टिकाऊ कारकों का संतुलन।,इस संकलन का मुख्य उद्देश्य धातुसाम्य की प्राप्ति है।,धातुसाम्य के लिए पोषणकारी और टिकाऊ दोनों कारकों का संतुलन आवश्यक है।,"पहले कारण को बताया गया, फिर उसका परिणाम धातुसाम्य के रूप में दर्शाया गया है।","एषां संदर्भे ""धातुसाम्य"" इति शब्दः किं अभिप्रेत्य अस्ति?",अस्य सङ्ग्रहे मुख्यः उद्देशः कः प्रदर्शितः?,धातुसाम्यस्य सिद्ध्यर्थं कयोः प्रकारयोः कारकयोः संतुलनम् आवश्यकम्?,धातुसाम्यस्य कारण‑परिणामस्य सम्बन्धः कथं विविच्यते?,धातुसाम्य इति शब्दः धारणकर्ता च पोषक कारकयोः संतुलनम् अभिप्रेत्य अस्ति।,अस्य सङ्ग्रहे मुख्यः उद्देशः धातुसाम्यस्य प्राप्तिः इति प्रदर्शितः।,धातुसाम्ये धारणकर्ता (सतत्) तथा पोषक (निरन्तर) इत्ययोः कारकयोः संतुलनम् आवश्यकम्।,"प्रथमं कारणम् वर्णितम्, तदनन्तरं परिणामः धातुसाम्यस्य रूपेण प्रदर्शितः।",
"कालबुद्धीन्द्रियार्थानां योगो मिथ्या न चाति च|
द्वयाश्रयाणां व्याधीनां त्रिविधो हेतुसङ्ग्रहः||५४||
","Perverted, negative and excessive use of time, intelligence and sense objects is the threefold cause of both psychic and somatic disorders. [54]","What three aspects, when used pervertedly, negatively, or excessively, can cause both mental and physical disorders?",How does an excessive use of sense objects affect health?,"Which factor among time, intellect, and sense objects is considered a cause of disorders if handled improperly?",Why is balanced use of intelligence important for overall well‑being?,"The misuse of time, intelligence, and sense objects.",It is one of the three primary causes that can lead to both psychic and somatic ailments.,"All three—time, intellect, and sense objects—if perverted, negative, or excessive, cause disorders.",Because distorted use of intelligence is one of the three causes of mental and physical diseases.,"कौन से तीन तत्वों का विकृत, नकारात्मक या अत्यधिक उपयोग मनोवैज्ञानिक और शारीरिक रोगों का कारण बनता है?",इंद्रियों की वस्तुओं का अत्यधिक उपयोग स्वास्थ्य पर कैसे प्रभाव डालता है?,"समय, बुद्धि और इंद्रियों को अनुचित रूप से उपयोग करने से कौन‑सी समस्याएँ उत्पन्न हो सकती हैं?",बुद्धि का संतुलित उपयोग कुल मिलाकर कल्याण के लिये क्यों आवश्यक है?,"समय, बुद्धि और इंद्रियों की वस्तुएँ।",यह तीन मुख्य कारणों में से एक है जो मनोविकृति और शारीरिक रोग उत्पन्न करता है।,मनोरोग तथा शारीरिक दोनों प्रकार के रोग।,क्योंकि बुद्धि का विकृत उपयोग रोगों का एक प्रमुख कारण है।,"समयस्य, बौद्धिकस्य, इन्द्रियवस्तूनां च विकृतः अतिव्ययः कस्य कारणम् मनसि‑शरीरौ रोगाणाम्?",इन्द्रियवस्तूनां अतिव्ययः स्वास्थ्ये कथं प्रभावति?,"समयस्य, बौद्धिकस्य, इन्द्रियवस्तूनां च अनुचितः उपयोगः किम् रोगाणि सृजति?",बौद्धिकस्य सम्यक् उपयोगः सर्वाङ्गीणकल्याणाय किमर्थम् आवश्यकः?,एतेषां त्रयोः अनैतिकव्ययः मनसि‑शरीरौ रोगाणाम् कारणम्।,"एतत् त्रयीभूतस्य कारणस्य एकं भागम्, यत् मनसि‑शरीरौ रोगाणि जनयति।",एते त्रयः मनसि‑शरीरौ रोगाणि उत्पादयन्ति।,बौद्धिकस्य विकृतः उपयोगः रोगस्य मुख्यकारणम् भवति।,
